Name,Association,Class,Rarity,Level,Chibi,Health,Armor,Reload,Luck,Firepower,Torpedo,Evasion,Speed,AntiAir,Aviation,OilConsumption,Accuracy,AntiSubmarine
Köln,Ironblood,Light Cruiser,Normal,Base Stats,/w/images/6/6b/KölnChibi.png,578,Light,64,62,28,51,29,32,63,0,2,51,25
Juneau,Eagle Union,Light Cruiser,Rare,Level 100,/w/images/6/66/JuneauChibi.png,3126,Light,156,18,112,137,73,32,380,0,9,150,168
Cooper,Eagle Union,Destroyer,Elite,Base Stats,/w/images/8/84/CooperChibi.png,353,Light,81,22,23,68,59,40,37,0,2,74,53
Juneau,Eagle Union,Light Cruiser,Rare,Base Stats,/w/images/6/66/JuneauChibi.png,605,Light,66,18,24,29,28,32,81,0,2,58,46
Leipzig,Ironblood,Light Cruiser,Rare,Level 120 Retrofit,/w/images/1/11/LeipzigChibi.png,3734,Light,190,67,168,325,102,32,387,0,9,158,99
San Diego,Eagle Union,Light Cruiser,Super Rare,Level 120 Retrofit,/w/images/9/9f/San_DiegoChibi.png,3995,Light,210,85,182,168,95,32,559,0,11,168,201
Centaur,Royal Navy,Light Aircraft Carrier,Super Rare,Base Stats,/w/images/f/f7/CentaurChibi.png,1105,Medium,59,73,0,0,19,28,50,80,4,31,31
San Diego,Eagle Union,Light Cruiser,Super Rare,Level 120,/w/images/9/9f/San_DiegoChibi.png,3755,Light,190,85,137,168,95,32,449,0,11,168,201
Leipzig,Ironblood,Light Cruiser,Rare,Level 120,/w/images/1/11/LeipzigChibi.png,3494,Light,185,67,148,270,102,32,347,0,9,158,99
San Diego,Eagle Union,Light Cruiser,Super Rare,Level 100 Retrofit,/w/images/9/9f/San_DiegoChibi.png,3578,Light,185,85,164,146,73,32,516,0,11,150,181
Bataan,Eagle Union,Light Aircraft Carrier,Elite,Level 100,/w/images/9/94/BataanChibi.png,4318,Medium,173,65,0,0,54,31,242,308,11,76,63
San Diego,Eagle Union,Light Cruiser,Super Rare,Level 100,/w/images/9/9f/San_DiegoChibi.png,3338,Light,165,85,119,146,73,32,406,0,11,150,181
Leipzig,Ironblood,Light Cruiser,Rare,Level 100 Retrofit,/w/images/1/11/LeipzigChibi.png,3346,Light,166,67,149,291,76,32,348,0,9,138,87
San Diego,Eagle Union,Light Cruiser,Super Rare,Base Stats,/w/images/9/9f/San_DiegoChibi.png,646,Light,70,85,25,31,28,32,87,0,3,58,49
Essex,Eagle Union,Aircraft Carrier,Super Rare,Level 120,/w/images/e/ed/EssexChibi.png,6647,Medium,131,90,0,0,54,33,331,433,13,88,0
Cleveland,Eagle Union,Light Cruiser,Elite,Level 120,/w/images/4/4a/ClevelandChibi.png,4307,Light,189,71,165,0,92,32,323,0,10,163,100
Leipzig,Ironblood,Light Cruiser,Rare,Level 100,/w/images/1/11/LeipzigChibi.png,3106,Light,161,67,129,236,76,32,308,0,9,138,87
Cleveland,Eagle Union,Light Cruiser,Elite,Level 100,/w/images/4/4a/ClevelandChibi.png,3880,Light,164,71,144,0,77,32,285,0,10,146,88
Halsey Powell,Eagle Union,Destroyer,Rare,Base Stats,/w/images/0/02/Halsey_PowellChibi.png,338,Light,74,55,15,52,59,42,41,0,2,72,53
Cleveland,Eagle Union,Light Cruiser,Elite,Base Stats,/w/images/4/4a/ClevelandChibi.png,751,Light,69,71,31,0,30,32,61,0,3,56,24
Leipzig,Ironblood,Light Cruiser,Rare,Base Stats,/w/images/1/11/LeipzigChibi.png,601,Light,68,67,27,50,29,32,66,0,2,53,24
Columbia,Eagle Union,Light Cruiser,Elite,Level 120,/w/images/a/a0/ColumbiaChibi.png,4307,Light,187,70,168,0,92,32,323,0,10,163,100
Essex,Eagle Union,Aircraft Carrier,Super Rare,Level 100,/w/images/e/ed/EssexChibi.png,5730,Medium,114,90,0,0,34,33,293,391,13,79,0
Columbia,Eagle Union,Light Cruiser,Elite,Level 100,/w/images/a/a0/ColumbiaChibi.png,3880,Light,163,70,146,0,77,32,285,0,10,145,88
Admiral Hipper,Ironblood,Heavy Cruiser,Elite,Level 120,/w/images/0/02/Admiral_HipperChibi.png,4970,Medium,176,66,251,190,61,25,189,0,11,128,0
Columbia,Eagle Union,Light Cruiser,Elite,Base Stats,/w/images/a/a0/ColumbiaChibi.png,751,Light,69,70,31,0,30,32,61,0,3,56,24
Bataan,Eagle Union,Light Aircraft Carrier,Elite,Base Stats,/w/images/9/94/BataanChibi.png,835,Medium,73,65,0,0,21,31,52,65,3,29,17
Pensacola,Eagle Union,Heavy Cruiser,Normal,Level 120,/w/images/3/39/PensacolaChibi.png,3290,Light,160,75,232,0,55,26,198,0,9,118,0
Admiral Hipper,Ironblood,Heavy Cruiser,Elite,Level 100,/w/images/0/02/Admiral_HipperChibi.png,4518,Medium,153,66,218,165,23,25,164,0,11,114,0
Pensacola,Eagle Union,Heavy Cruiser,Normal,Level 100,/w/images/3/39/PensacolaChibi.png,2911,Light,139,75,202,0,23,26,172,0,9,101,0
Essex,Eagle Union,Aircraft Carrier,Super Rare,Base Stats,/w/images/e/ed/EssexChibi.png,1108,Medium,48,90,0,0,13,33,63,83,4,30,0
Pensacola,Eagle Union,Heavy Cruiser,Normal,Base Stats,/w/images/3/39/PensacolaChibi.png,563,Light,59,75,43,0,9,26,37,0,2,39,0
Admiral Hipper,Ironblood,Heavy Cruiser,Elite,Base Stats,/w/images/0/02/Admiral_HipperChibi.png,874,Medium,65,66,46,35,9,25,35,0,3,44,0
Salt Lake City,Eagle Union,Heavy Cruiser,Normal,Level 120,/w/images/4/49/Salt_Lake_CityChibi.png,3290,Light,160,71,232,0,55,26,198,0,9,118,0
Kirov,North Union,Light Cruiser,Unreleased,Level 100,,,,,,,,,,,,,,
Salt Lake City,Eagle Union,Heavy Cruiser,Normal,Level 100,/w/images/4/49/Salt_Lake_CityChibi.png,2911,Light,139,71,202,0,23,26,172,0,9,101,0
Prinz Eugen,Ironblood,Heavy Cruiser,Super Rare,Level 120,/w/images/5/5d/Prinz_EugenChibi.png,6252,Medium,182,78,226,153,62,25,205,0,12,128,0
Salt Lake City,Eagle Union,Heavy Cruiser,Normal,Base Stats,/w/images/4/49/Salt_Lake_CityChibi.png,563,Light,59,71,43,0,9,26,37,0,2,39,0
Albacore,Eagle Union,Submarine,Super Rare,Level 120,/w/images/9/96/AlbacoreChibi.png,1924,Light,95,79,61,526,41,16,0,0,7,193,0
Northampton,Eagle Union,Heavy Cruiser,Rare,Level 120,/w/images/8/89/NorthamptonChibi.png,3346,Light,167,27,240,0,53,26,204,0,10,121,0
Prinz Eugen,Ironblood,Heavy Cruiser,Super Rare,Level 100,/w/images/5/5d/Prinz_EugenChibi.png,5683,Medium,159,78,196,133,24,25,178,0,12,114,0
Northampton,Eagle Union,Heavy Cruiser,Rare,Level 100,/w/images/8/89/NorthamptonChibi.png,2961,Light,145,27,209,0,23,26,178,0,10,104,0
San Juan,Eagle Union,Light Cruiser,Rare,Level 120,/w/images/4/4f/San_JuanChibi.png,3517,Light,179,77,129,157,95,32,429,0,9,168,186
Northampton,Eagle Union,Heavy Cruiser,Rare,Base Stats,/w/images/8/89/NorthamptonChibi.png,573,Light,61,27,44,0,9,26,38,0,3,40,0
Prinz Eugen,Ironblood,Heavy Cruiser,Super Rare,Base Stats,/w/images/5/5d/Prinz_EugenChibi.png,1099,Medium,67,78,43,28,9,25,38,0,4,44,0
Chicago,Eagle Union,Heavy Cruiser,Rare,Level 120,/w/images/7/78/ChicagoChibi.png,3393,Light,167,32,240,0,53,26,204,0,10,121,0
Albacore,Eagle Union,Submarine,Super Rare,Level 100,/w/images/9/96/AlbacoreChibi.png,1603,Light,82,79,53,478,22,16,0,0,7,172,0
Chicago,Eagle Union,Heavy Cruiser,Rare,Level 100,/w/images/7/78/ChicagoChibi.png,3002,Light,145,32,209,0,23,26,178,0,10,104,0
Deutschland,Ironblood,Heavy Cruiser,Elite,Level 120,/w/images/7/76/DeutschlandChibi.png,4018,Medium,176,72,301,220,53,22,154,0,11,131,0
Chicago,Eagle Union,Heavy Cruiser,Rare,Base Stats,/w/images/7/78/ChicagoChibi.png,581,Light,61,32,44,0,9,26,38,0,3,40,0
Biloxi,Eagle Union,Light Cruiser,Elite,Level 120,/w/images/2/2c/BiloxiChibi.png,4308,Light,187,68,151,0,96,33,323,0,10,169,101
Houston,Eagle Union,Heavy Cruiser,Elite,Level 120,/w/images/5/58/HoustonChibi.png,3445,Light,171,49,246,0,53,26,210,0,11,121,0
Deutschland,Ironblood,Heavy Cruiser,Elite,Level 100,/w/images/7/76/DeutschlandChibi.png,3571,Medium,153,72,265,191,18,22,134,0,11,117,0
Houston,Eagle Union,Heavy Cruiser,Elite,Level 100,/w/images/5/58/HoustonChibi.png,3049,Light,149,49,214,0,23,26,183,0,11,104,0
Albacore,Eagle Union,Submarine,Super Rare,Base Stats,/w/images/9/96/AlbacoreChibi.png,310,Light,35,79,11,101,9,16,0,0,2,66,0
Houston,Eagle Union,Heavy Cruiser,Elite,Base Stats,/w/images/5/58/HoustonChibi.png,590,Light,63,49,45,0,9,26,39,0,3,40,0
Deutschland,Ironblood,Heavy Cruiser,Elite,Base Stats,/w/images/7/76/DeutschlandChibi.png,691,Medium,65,72,56,41,7,22,29,0,3,45,0
Portland,Eagle Union,Heavy Cruiser,Rare,Level 120 Retrofit,/w/images/7/73/PortlandChibi.png,5355,Medium,170,78,234,0,78,26,260,0,10,125,0
San Juan,Eagle Union,Light Cruiser,Rare,Level 100,/w/images/4/4f/San_JuanChibi.png,3126,Light,156,77,112,137,73,32,387,0,9,150,167
Portland,Eagle Union,Heavy Cruiser,Rare,Level 120,/w/images/7/73/PortlandChibi.png,4565,Medium,170,78,204,0,58,26,245,0,10,125,0
Admiral Graf Spee,Ironblood,Heavy Cruiser,Elite,Level 120,/w/images/0/04/Admiral_Graf_SpeeChibi.png,4361,Medium,174,36,298,216,54,22,154,0,11,125,0
Portland,Eagle Union,Heavy Cruiser,Rare,Level 100 Retrofit,/w/images/7/73/PortlandChibi.png,4866,Medium,148,78,208,0,45,26,228,0,10,107,0
Le Temeraire,Iris Libre,Destroyer,Elite,Level 120,/w/images/d/d8/Le_TemeraireChibi.png,1571,Light,192,41,93,394,189,42,172,0,9,189,187
Portland,Eagle Union,Heavy Cruiser,Rare,Level 100,/w/images/7/73/PortlandChibi.png,4076,Medium,148,78,178,0,25,26,213,0,10,107,0
Admiral Graf Spee,Ironblood,Heavy Cruiser,Elite,Level 100,/w/images/0/04/Admiral_Graf_SpeeChibi.png,3877,Medium,152,36,261,188,18,22,134,0,11,112,0
Portland,Eagle Union,Heavy Cruiser,Rare,Base Stats,/w/images/7/73/PortlandChibi.png,788,Medium,62,78,38,0,10,26,46,0,3,41,0
Reno,Eagle Union,Light Cruiser,Super Rare,Level 120,/w/images/a/a7/RenoChibi.png,3755,Light,190,52,148,196,95,32,479,0,11,168,203
Indianapolis,Eagle Union,Heavy Cruiser,Elite,Level 120,/w/images/e/e5/IndianapolisChibi.png,4734,Medium,174,23,210,0,58,26,252,0,11,125,0
Admiral Graf Spee,Ironblood,Heavy Cruiser,Elite,Base Stats,/w/images/0/04/Admiral_Graf_SpeeChibi.png,750,Medium,64,36,55,40,7,22,29,0,3,43,0
Indianapolis,Eagle Union,Heavy Cruiser,Elite,Level 100,/w/images/e/e5/IndianapolisChibi.png,4227,Medium,152,23,183,0,25,26,219,0,11,107,0
Le Temeraire,Iris Libre,Destroyer,Elite,Level 100,/w/images/d/d8/Le_TemeraireChibi.png,1309,Light,167,41,81,353,182,42,150,0,9,180,168
Indianapolis,Eagle Union,Heavy Cruiser,Elite,Base Stats,/w/images/e/e5/IndianapolisChibi.png,818,Medium,64,23,39,0,10,26,47,0,3,41,0
Scharnhorst,Ironblood,Battlecruiser,Elite,Level 120,/w/images/8/89/ScharnhorstChibi.png,7455,Medium,157,43,366,154,38,31,248,0,13,66,0
Astoria,Eagle Union,Heavy Cruiser,Elite,Level 120,/w/images/6/6b/AstoriaChibi.png,3881,Medium,161,15,218,0,57,26,226,0,11,122,0
San Juan,Eagle Union,Light Cruiser,Rare,Base Stats,/w/images/4/4f/San_JuanChibi.png,605,Light,66,77,24,29,28,32,83,0,2,58,45
Astoria,Eagle Union,Heavy Cruiser,Elite,Level 100,/w/images/6/6b/AstoriaChibi.png,3465,Medium,140,15,190,0,24,26,196,0,11,104,0
Scharnhorst,Ironblood,Battlecruiser,Elite,Level 100,/w/images/8/89/ScharnhorstChibi.png,6415,Medium,137,43,326,131,22,31,216,0,13,56,0
Astoria,Eagle Union,Heavy Cruiser,Elite,Base Stats,/w/images/6/6b/AstoriaChibi.png,670,Medium,59,15,40,0,9,26,42,0,3,40,0
Le Temeraire,Iris Libre,Destroyer,Elite,Base Stats,/w/images/d/d8/Le_TemeraireChibi.png,253,Light,70,41,17,75,70,42,32,0,2,69,46
Quincy,Eagle Union,Heavy Cruiser,Elite,Level 120,/w/images/d/d2/QuincyChibi.png,4015,Medium,161,9,218,0,57,26,230,0,11,125,0
Scharnhorst,Ironblood,Battlecruiser,Elite,Base Stats,/w/images/8/89/ScharnhorstChibi.png,1241,Medium,58,43,69,0,9,31,46,0,4,22,0
Quincy,Eagle Union,Heavy Cruiser,Elite,Level 100,/w/images/d/d2/QuincyChibi.png,3585,Medium,140,9,190,0,24,26,200,0,11,107,0
Biloxi,Eagle Union,Light Cruiser,Elite,Level 100,/w/images/2/2c/BiloxiChibi.png,3881,Light,163,68,132,0,78,33,286,0,10,151,89
Quincy,Eagle Union,Heavy Cruiser,Elite,Base Stats,/w/images/d/d2/QuincyChibi.png,693,Medium,59,9,40,0,9,26,43,0,3,41,0
Gneisenau,Ironblood,Battlecruiser,Elite,Level 120,/w/images/5/52/GneisenauChibi.png,7455,Medium,157,64,366,154,38,31,248,0,13,66,0
Vincennes,Eagle Union,Heavy Cruiser,Elite,Level 120,/w/images/3/3f/VincennesChibi.png,4015,Medium,161,12,218,0,57,26,230,0,11,122,0
Memphis,Eagle Union,Light Cruiser,Rare,Level 120,/w/images/7/72/MemphisChibi.png,3301,Light,185,67,146,212,101,35,295,0,9,151,82
Vincennes,Eagle Union,Heavy Cruiser,Elite,Level 100,/w/images/3/3f/VincennesChibi.png,3585,Medium,140,12,190,0,24,26,200,0,11,104,0
Gneisenau,Ironblood,Battlecruiser,Elite,Level 100,/w/images/5/52/GneisenauChibi.png,6415,Medium,137,64,326,131,22,31,216,0,13,56,0
Vincennes,Eagle Union,Heavy Cruiser,Elite,Base Stats,/w/images/3/3f/VincennesChibi.png,693,Medium,59,12,40,0,9,26,43,0,3,40,0
Birmingham,Eagle Union,Light Cruiser,Elite,Level 120,/w/images/4/40/BirminghamChibi.png,4189,Light,185,48,168,0,94,32,327,0,10,169,99
Wichita,Eagle Union,Heavy Cruiser,Elite,Level 120,/w/images/7/7b/WichitaChibi.png,3709,Light,179,70,267,0,50,26,222,0,11,131,0
Gneisenau,Ironblood,Battlecruiser,Elite,Base Stats,/w/images/5/52/GneisenauChibi.png,1241,Medium,58,64,69,0,9,31,46,0,4,22,0
Wichita,Eagle Union,Heavy Cruiser,Elite,Level 100,/w/images/7/7b/WichitaChibi.png,3297,Light,156,70,233,0,23,26,193,0,11,112,0
Memphis,Eagle Union,Light Cruiser,Rare,Level 100,/w/images/7/72/MemphisChibi.png,2921,Light,161,67,127,184,79,35,259,0,9,135,72
Wichita,Eagle Union,Heavy Cruiser,Elite,Base Stats,/w/images/7/7b/WichitaChibi.png,638,Light,66,70,49,0,9,26,41,0,3,43,0
Bismarck,Ironblood,Battleship,Super Rare,Level 120,/w/images/2/2c/BismarckChibi.png,8762,Heavy,152,32,423,0,33,30,208,0,15,73,0
Baltimore,Eagle Union,Heavy Cruiser,Super Rare,Level 120,/w/images/c/c3/BaltimoreChibi.png,4591,Medium,184,56,270,0,57,26,260,0,12,136,0
Jeanne d'Arc,Iris Libre,Light Cruiser,Unreleased,Level 120,,,,,,,,,,,,,,
Baltimore,Eagle Union,Heavy Cruiser,Super Rare,Level 100,/w/images/c/c3/BaltimoreChibi.png,4099,Medium,160,56,236,0,24,26,227,0,12,116,0
Bismarck,Ironblood,Battleship,Super Rare,Level 100,/w/images/2/2c/BismarckChibi.png,7529,Heavy,133,32,387,0,21,30,181,0,15,63,0
Baltimore,Eagle Union,Heavy Cruiser,Super Rare,Base Stats,/w/images/c/c3/BaltimoreChibi.png,793,Medium,68,56,50,0,9,26,49,0,4,45,0
Memphis,Eagle Union,Light Cruiser,Rare,Base Stats,/w/images/7/72/MemphisChibi.png,565,Light,68,67,27,39,30,35,55,0,2,52,20
Nevada,Eagle Union,Battleship,Normal,Level 120 Retrofit,/w/images/d/d1/NevadaChibi.png,7214,Heavy,152,75,388,0,26,20,242,0,12,83,0
Bismarck,Ironblood,Battleship,Super Rare,Base Stats,/w/images/2/2c/BismarckChibi.png,1456,Heavy,56,32,82,0,8,30,39,0,5,24,0
Nevada,Eagle Union,Battleship,Normal,Level 120,/w/images/d/d1/NevadaChibi.png,6974,Heavy,132,75,378,0,26,20,202,0,12,68,0
Birmingham,Eagle Union,Light Cruiser,Elite,Level 100,/w/images/4/40/BirminghamChibi.png,3774,Light,161,48,146,0,76,32,289,0,10,151,87
Nevada,Eagle Union,Battleship,Normal,Level 100 Retrofit,/w/images/d/d1/NevadaChibi.png,6200,Heavy,135,75,348,0,11,20,215,0,12,67,0
Tirpitz,Ironblood,Battleship,Super Rare,Level 120,/w/images/1/19/TirpitzChibi.png,8401,Heavy,150,45,423,217,33,30,208,0,15,67,0
Nevada,Eagle Union,Battleship,Normal,Level 100,/w/images/d/d1/NevadaChibi.png,5960,Heavy,115,75,338,0,11,20,175,0,12,52,0
Newcastle,Royal Navy,Light Cruiser,Rare,Level 120 Retrofit,/w/images/d/dd/NewcastleChibi.png,3928,Light,194,78,175,285,100,32,387,0,9,165,84
Nevada,Eagle Union,Battleship,Normal,Base Stats,/w/images/d/d1/NevadaChibi.png,1153,Heavy,49,75,72,0,4,20,38,0,4,20,0
Tirpitz,Ironblood,Battleship,Super Rare,Level 100,/w/images/1/19/TirpitzChibi.png,7637,Heavy,130,45,387,188,21,30,181,0,15,57,0
Oklahoma,Eagle Union,Battleship,Normal,Level 120 Retrofit,/w/images/b/b9/OklahomaChibi.png,7196,Heavy,152,38,388,0,26,20,247,0,12,78,0
Biloxi,Eagle Union,Light Cruiser,Elite,Base Stats,/w/images/2/2c/BiloxiChibi.png,751,Light,69,68,28,0,30,33,61,0,3,58,24
Oklahoma,Eagle Union,Battleship,Normal,Level 120,/w/images/b/b9/OklahomaChibi.png,6956,Heavy,132,38,378,0,26,20,202,0,12,68,0
Tirpitz,Ironblood,Battleship,Super Rare,Base Stats,/w/images/1/19/TirpitzChibi.png,1477,Heavy,55,45,82,40,8,30,39,0,5,22,0
Oklahoma,Eagle Union,Battleship,Normal,Level 100 Retrofit,/w/images/b/b9/OklahomaChibi.png,6200,Heavy,135,38,348,0,11,20,220,0,12,62,0
Newcastle,Royal Navy,Light Cruiser,Rare,Level 120,/w/images/d/dd/NewcastleChibi.png,3688,Light,179,78,145,285,100,32,347,0,9,160,84
Oklahoma,Eagle Union,Battleship,Normal,Level 100,/w/images/b/b9/OklahomaChibi.png,5960,Heavy,115,38,338,0,11,20,175,0,12,52,0
Graf Zeppelin,Ironblood,Aircraft Carrier,Super Rare,Level 120,/w/images/5/53/Graf_ZeppelinChibi.png,7488,Medium,115,45,0,0,50,33,319,400,13,87,0
Oklahoma,Eagle Union,Battleship,Normal,Base Stats,/w/images/b/b9/OklahomaChibi.png,1153,Heavy,49,38,72,0,4,20,38,0,4,20,0
Birmingham,Eagle Union,Light Cruiser,Elite,Base Stats,/w/images/4/40/BirminghamChibi.png,730,Light,68,48,31,0,29,32,62,0,3,58,24
Pennsylvania,Eagle Union,Battleship,Rare,Level 120,/w/images/6/61/PennsylvaniaChibi.png,7194,Heavy,137,72,390,0,27,21,212,0,13,70,0
Graf Zeppelin,Ironblood,Aircraft Carrier,Super Rare,Level 100,/w/images/5/53/Graf_ZeppelinChibi.png,6808,Medium,100,45,0,0,36,33,281,358,13,78,0
Pennsylvania,Eagle Union,Battleship,Rare,Level 100,/w/images/6/61/PennsylvaniaChibi.png,6165,Heavy,119,72,349,0,11,21,185,0,13,54,0
Newcastle,Royal Navy,Light Cruiser,Rare,Level 100 Retrofit,/w/images/d/dd/NewcastleChibi.png,3533,Light,171,78,156,250,76,32,347,0,9,148,74
Pennsylvania,Eagle Union,Battleship,Rare,Base Stats,/w/images/6/61/PennsylvaniaChibi.png,1192,Heavy,50,72,74,0,4,21,40,0,4,21,0
Graf Zeppelin,Ironblood,Aircraft Carrier,Super Rare,Base Stats,/w/images/5/53/Graf_ZeppelinChibi.png,1317,Medium,42,45,0,0,14,33,60,76,4,30,0
Arizona,Eagle Union,Battleship,Elite,Level 120,/w/images/1/10/ArizonaChibi.png,7137,Heavy,139,17,399,0,27,21,219,0,14,70,0
Reno,Eagle Union,Light Cruiser,Super Rare,Level 100,/w/images/a/a7/RenoChibi.png,3338,Light,165,52,129,171,73,32,436,0,11,150,183
Arizona,Eagle Union,Battleship,Elite,Level 100,/w/images/1/10/ArizonaChibi.png,6116,Heavy,121,17,358,0,11,21,190,0,14,54,0
An Shan,Eastern Radiance,Destroyer,Elite,Level 120,/w/images/c/cc/An_ShanChibi.png,2277,Light,201,81,131,228,165,45,172,0,9,188,200
Arizona,Eagle Union,Battleship,Elite,Base Stats,/w/images/1/10/ArizonaChibi.png,1183,Heavy,51,17,76,0,4,21,41,0,5,21,0
Newcastle,Royal Navy,Light Cruiser,Rare,Level 100,/w/images/d/dd/NewcastleChibi.png,3293,Light,156,78,126,250,76,32,307,0,9,143,74
Tennessee,Eagle Union,Battleship,Rare,Level 120,/w/images/1/1b/TennesseeChibi.png,7385,Heavy,139,51,391,0,28,21,211,0,13,69,0
An Shan,Eastern Radiance,Destroyer,Elite,Level 100,/w/images/c/cc/An_ShanChibi.png,1897,Light,175,81,114,198,159,45,149,0,9,179,180
Tennessee,Eagle Union,Battleship,Rare,Level 100,/w/images/1/1b/TennesseeChibi.png,6339,Heavy,121,51,350,0,11,21,183,0,13,56,0
Aylwin,Eagle Union,Destroyer,Rare,Level 120,/w/images/e/e3/AylwinChibi.png,1679,Light,199,83,81,279,162,44,182,0,8,173,197
Tennessee,Eagle Union,Battleship,Rare,Base Stats,/w/images/1/1b/TennesseeChibi.png,1226,Heavy,51,51,74,0,4,21,39,0,4,22,0
An Shan,Eastern Radiance,Destroyer,Elite,Base Stats,/w/images/c/cc/An_ShanChibi.png,367,Light,74,81,24,42,61,45,32,0,2,69,49
California,Eagle Union,Battleship,Rare,Level 120,/w/images/5/59/CaliforniaChibi.png,7385,Heavy,139,36,391,0,28,21,211,0,13,69,0
Newcastle,Royal Navy,Light Cruiser,Rare,Base Stats,/w/images/d/dd/NewcastleChibi.png,637,Light,66,78,27,53,29,32,66,0,2,55,20
California,Eagle Union,Battleship,Rare,Level 100,/w/images/5/59/CaliforniaChibi.png,6339,Heavy,121,36,350,0,11,21,183,0,13,56,0
Fu Shun,Eastern Radiance,Destroyer,Elite,Level 120,/w/images/7/7f/Fu_ShunChibi.png,2277,Light,201,51,128,231,165,45,174,0,9,186,200
California,Eagle Union,Battleship,Rare,Base Stats,/w/images/5/59/CaliforniaChibi.png,1226,Heavy,51,36,74,0,4,21,39,0,4,22,0
Uranami,Sakura Empire,Destroyer,Elite,Level 120,/w/images/f/f0/UranamiChibi.png,1798,Light,208,75,65,504,195,46,146,0,9,189,195
Colorado,Eagle Union,Battleship,Elite,Level 120,/w/images/b/b3/ColoradoChibi.png,7456,Heavy,149,67,409,0,30,21,216,0,14,69,0
Fu Shun,Eastern Radiance,Destroyer,Elite,Level 100,/w/images/7/7f/Fu_ShunChibi.png,1897,Light,175,51,111,201,159,45,151,0,9,177,180
Colorado,Eagle Union,Battleship,Elite,Level 100,/w/images/b/b3/ColoradoChibi.png,6416,Heavy,130,67,368,0,11,21,188,0,14,57,0
Hobby,Eagle Union,Destroyer,Rare,Level 120,/w/images/2/22/HobbyChibi.png,1826,Light,204,68,87,320,163,45,172,0,8,184,212
Colorado,Eagle Union,Battleship,Elite,Base Stats,/w/images/b/b3/ColoradoChibi.png,1241,Heavy,55,67,78,0,4,21,40,0,5,22,0
Fu Shun,Eastern Radiance,Destroyer,Elite,Base Stats,/w/images/7/7f/Fu_ShunChibi.png,367,Light,74,51,24,43,61,45,32,0,2,68,49
Maryland,Eagle Union,Battleship,Elite,Level 120,/w/images/a/a9/MarylandChibi.png,7514,Heavy,146,70,405,0,30,21,216,0,14,64,0
Aylwin,Eagle Union,Destroyer,Rare,Level 100,/w/images/e/e3/AylwinChibi.png,1400,Light,173,83,70,244,156,44,159,0,8,165,177
Maryland,Eagle Union,Battleship,Elite,Level 100,/w/images/a/a9/MarylandChibi.png,6466,Heavy,127,70,364,0,11,21,188,0,14,52,0
Chang Chun,Eastern Radiance,Destroyer,Elite,Level 120,/w/images/2/20/Chang_ChunChibi.png,2277,Light,199,61,131,228,165,45,172,0,9,184,200
Maryland,Eagle Union,Battleship,Elite,Base Stats,/w/images/a/a9/MarylandChibi.png,1251,Heavy,54,70,77,0,4,21,40,0,5,20,0
Hobby,Eagle Union,Destroyer,Rare,Level 100,/w/images/2/22/HobbyChibi.png,1521,Light,178,68,76,282,157,45,149,0,8,175,192
West Virginia,Eagle Union,Battleship,Elite,Level 120,/w/images/c/c1/West_VirginiaChibi.png,7456,Heavy,149,61,409,0,30,21,216,0,14,70,0
Chang Chun,Eastern Radiance,Destroyer,Elite,Level 100,/w/images/2/20/Chang_ChunChibi.png,1897,Light,173,61,114,198,159,45,149,0,9,175,180
West Virginia,Eagle Union,Battleship,Elite,Level 100,/w/images/c/c1/West_VirginiaChibi.png,6416,Heavy,130,61,368,0,11,21,188,0,14,57,0
Vittorio Veneto,Sardegna Empire,Battleship,Unreleased,Level 120,,,,,,,,,,,,,,
West Virginia,Eagle Union,Battleship,Elite,Base Stats,/w/images/c/c1/West_VirginiaChibi.png,1241,Heavy,55,61,78,0,4,21,40,0,5,22,0
Chang Chun,Eastern Radiance,Destroyer,Elite,Base Stats,/w/images/2/20/Chang_ChunChibi.png,367,Light,73,61,24,42,61,45,32,0,2,67,49
North Carolina,Eagle Union,Battleship,Super Rare,Level 120,/w/images/c/cd/North_CarolinaChibi.png,7852,Heavy,159,81,421,0,33,28,400,0,15,70,0
Hobby,Eagle Union,Destroyer,Rare,Base Stats,/w/images/2/22/HobbyChibi.png,294,Light,75,68,16,60,60,45,32,0,2,67,52
North Carolina,Eagle Union,Battleship,Super Rare,Level 100,/w/images/c/cd/North_CarolinaChibi.png,6798,Heavy,138,81,385,0,18,28,368,0,15,57,0
Tai Yuan,Eastern Radiance,Destroyer,Elite,Level 120,/w/images/f/f5/Tai_YuanChibi.png,2277,Light,199,71,128,229,165,45,174,0,9,186,200
North Carolina,Eagle Union,Battleship,Super Rare,Base Stats,/w/images/c/cd/North_CarolinaChibi.png,1315,Heavy,58,81,82,0,7,28,79,0,5,22,0
Aylwin,Eagle Union,Destroyer,Rare,Base Stats,/w/images/e/e3/AylwinChibi.png,271,Light,73,83,15,52,60,44,34,0,2,63,48
Washington,Eagle Union,Battleship,Super Rare,Level 120,/w/images/9/95/WashingtonChibi.png,8080,Heavy,159,89,421,0,33,28,400,0,15,70,0
Tai Yuan,Eastern Radiance,Destroyer,Elite,Level 100,/w/images/f/f5/Tai_YuanChibi.png,1897,Light,173,71,111,199,159,45,151,0,9,177,180
Washington,Eagle Union,Battleship,Super Rare,Level 100,/w/images/9/95/WashingtonChibi.png,6996,Heavy,138,89,385,0,18,28,368,0,15,57,0
